2022-07-30 08:52:20 error: [GET] /api/auth/refresh-session >> StatusCode:: 401, Message:: Wrong authentication token
2022-07-30 10:58:44 error: [POST] /api/auth/sign-out >> StatusCode:: 400, Message:: each value in reason must be a valid enum value
2022-07-30 11:00:14 error: [POST] /api/auth/sign-out >> StatusCode:: 400, Message:: each value in reason must be a valid enum value
2022-07-30 11:00:34 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:00:43 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:01:47 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:02:21 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:02:25 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:04:59 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:05:41 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:05:48 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:05:57 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:06:04 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:06:13 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:07:07 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:07:16 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:07:24 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:07:32 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:08:13 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:08:34 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:08:49 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:30:46 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:31:00 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:31:07 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:31:36 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:32:01 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:32:13 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
2022-07-30 11:32:22 error: [GET] /api/auth/refresh-session >> StatusCode:: 404, Message:: Authentication token missing
